;  Created 01-Feb-2016 ECMD Adapted from stx_cfl_skyvec_table.txt 20-Jun-2013 - Shaun Bloomfield (TCD)
;
;  CFL sky X sampling (in arcminutes) from STIX optical axis, nominally 67 samples spaced 2 arcminutes apart
;
-66. -64. -62. -60. -58. -56. -54. -52. -50. -48. -46. -44. -42. -40. -38. -36. -34. -32. -30. -28. -26. -24. -22. -20. -18. -16. -14. -12. -10.  -8.  -6.  -4.  -2.   0.   2.   4.   6.   8.  10.  12.  14.  16.  18.  20.  22.  24.  26.  28.  30.  32.  34.  36.  38.  40.  42.  44.  46.  48.  50.  52.  54.  56.  58.  60.  62.  64.  66.
;
;  CFL sky Y sampling (in arcminutes) from STIX optical axis, nominally 67 samples spaced 2 arcminutes apart
;
-66. -64. -62. -60. -58. -56. -54. -52. -50. -48. -46. -44. -42. -40. -38. -36. -34. -32. -30. -28. -26. -24. -22. -20. -18. -16. -14. -12. -10.  -8.  -6.  -4.  -2.   0.   2.   4.   6.   8.  10.  12.  14.  16.  18.  20.  22.  24.  26.  28.  30.  32.  34.  36.  38.  40.  42.  44.  46.  48.  50.  52.  54.  56.  58.  60.  62.  64.  66.
;
;  CFL [npixels, nvectors] sky vector array, nominally has [12, 4489] entries where nvectors is nsky_x*nsky_y (67x67)
;
0.0125366 0.0595444 0.0595444 0.0595444 0.0000000 0.0000000 0.0000000 0.0000000 0.2344268 0.2344268 0.0000000 0.0000000 
0.0031353 0.0595487 0.0595487 0.0595487 0.0000000 0.0000000 0.0000000 0.0000000 0.2344440 0.2344440 0.0000000 0.0000000 
0.0000000 0.0533008 0.0595701 0.0595701 0.0000000 0.0000000 0.0000000 0.0000000 0.2345281 0.2345281 0.0000000 0.0000000 
0.0000000 0.0439151 0.0595973 0.0595973 0.0000000 0.0000000 0.0000000 0.0000000 0.2346354 0.2346354 0.0000000 0.0000000 
0.0000000 0.0345176 0.0596194 0.0596194 0.0000000 0.0000000 0.0000000 0.0000000 0.2347220 0.2347220 0.0000000 0.0000000 
0.0000000 0.0251110 0.0596361 0.0596361 0.0000000 0.0000000 0.0000000 0.0000000 0.2347879 0.2347879 0.0000000 0.0000000 
0.0000000 0.0156976 0.0596475 0.0596475 0.0000000 0.0000000 0.0000000 0.0000000 0.2348330 0.2348330 0.0000000 0.0000000 
0.0000000 0.0062800 0.0596537 0.0596537 0.0000000 0.0000000 0.0000000 0.0000000 0.2348573 0.2348573 0.0000000 0.0000000 
0.0000000 0.0000000 0.0565260 0.0596658 0.0000000 0.0000000 0.0000000 0.0000000 0.2349048 0.2349048 0.0000000 0.0000000 
0.0000000 0.0000000 0.0471277 0.0596949 0.0000000 0.0000000 0.0000000 0.0000000 0.2350196 0.2350196 0.0000000 0.0000000 
0.0000000 0.0000000 0.0377167 0.0597188 0.0000000 0.0000000 0.0000000 0.0000000 0.2351136 0.2351136 0.0000000 0.0000000 
0.0015730 0.0000000 0.0282957 0.0597373 0.0000000 0.0000000 0.0000000 0.0000000 0.2351865 0.2351865 0.0000000 0.0000000 
0.0110076 0.0000000 0.0188659 0.0597471 0.0000000 0.0000000 0.0000000 0.0000000 0.2352249 0.2352249 0.0000000 0.0000000 
0.0204419 0.0000000 0.0094313 0.0597462 0.0000000 0.0000000 0.0000000 0.0000000 0.2352214 0.2352214 0.0000000 0.0000000 
0.0298674 0.0000000 0.0000000 0.0597315 0.0000000 0.0000000 0.0000000 0.0000000 0.2351698 0.2351764 0.0000000 0.0000000 
0.0300092 0.0000000 0.0000000 0.0505375 0.0000000 0.0000000 0.0000000 0.0000000 0.2176295 0.2362928 0.0000000 0.0000000 
0.0301396 0.0000000 0.0000000 0.0412383 0.0000000 0.0000000 0.0000000 0.0000000 0.1998379 0.2373203 0.0000000 0.0000000 
0.0302584 0.0000000 0.0000000 0.0318442 0.0000000 0.0000000 0.0000000 0.0000000 0.1818130 0.2382552 0.0000000 0.0000000 
0.0223698 0.0080004 0.0000000 0.0223700 0.0000000 0.0000000 0.0000000 0.0000000 0.1636036 0.2391368 0.0000000 0.0000000 
0.0128178 0.0176478 0.0000000 0.0128179 0.0000000 0.0000000 0.0000000 0.0000000 0.1451757 0.2398877 0.0000000 0.0000000 
0.0032033 0.0273391 0.0000000 0.0032034 0.0000000 0.0000000 0.0000000 0.0000000 0.1265516 0.2404918 0.0000000 0.0000000 
0.0000000 0.0306080 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1077928 0.2410082 0.0000000 0.0000000 
0.0000000 0.0306654 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0889282 0.2414602 0.0000000 0.0000000 
0.0000000 0.0307119 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0699670 0.2418265 0.0000000 0.0000000 
0.0000000 0.0258755 0.0048758 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0509360 0.2421366 0.0000000 0.0000000 
0.0000000 0.0161765 0.0146026 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0318434 0.2423550 0.0000000 0.0000000 
0.0000000 0.0064561 0.0243336 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0127090 0.2424392 0.0000000 0.0000000 
0.0000000 0.0000000 0.0316263 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2424143 0.0000000 0.0000000 
0.0000000 0.0000000 0.0344154 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2423920 0.0000000 0.0000000 
0.0000000 0.0344147 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2423920 0.0000000 0.0000000 0.0000000 
0.0000000 0.0316257 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2424143 0.0000000 0.0000000 0.0000000 
0.0000000 0.0243315 0.0064582 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2424392 0.0127131 0.0000000 0.0000000 
0.0000000 0.0146005 0.0161786 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2423550 0.0318475 0.0000000 0.0000000 
